Order_ID,Order_Date,Region,Category,Product,Salesperson,Quantity,Unit_Price,Discount_%,Total_Sales,Cost,Profit
1,2024-09-27,South,Furniture,Bed,David,3,468,20,1123.2,606.4,516.8
2,2024-10-20,North,Furniture,Table,Amit,1,907,10,816.3,481.81,334.49
3,2023-08-10,West,Clothing,Shirt,David,3,991,10,2675.7,1486.59,1189.11
4,2023-11-04,South,Sports,Tennis Racket,Priya,5,94,20,376.0,269.62,106.38
5,2024-06-06,East,Electronics,Tablet,David,1,915,15,777.75,610.99,166.76
6,2023-08-17,South,Clothing,Jacket,David,10,468,0,4680.0,3724.12,955.88
7,2023-07-01,North,Sports,Gym Gloves,Amit,3,40,20,96.0,64.87,31.13
8,2024-10-10,South,Clothing,Shoes,John,3,100,10,270.0,144.29,125.71
9,2024-09-13,North,Beauty,Moisturizer,Priya,1,779,5,740.05,415.03,325.02
10,2023-12-28,South,Beauty,Lipstick,Meena,9,157,15,1201.05,691.78,509.27
11,2023-05-02,West,Sports,Bat,Priya,8,317,10,2282.4,1812.35,470.05
12,2024-10-26,South,Clothing,Shoes,Priya,4,916,20,2931.2,2229.77,701.43
13,2024-03-09,North,Sports,Gym Gloves,John,3,521,20,1250.4,800.66,449.74
14,2024-02-19,North,Electronics,Tablet,Amit,1,351,0,351.0,206.92,144.08
15,2024-09-16,East,Electronics,Mobile,John,10,966,0,9660.0,5691.3,3968.7
16,2024-09-05,East,Furniture,Sofa,Priya,2,432,5,820.8,511.85,308.95
17,2023-05-15,East,Furniture,Chair,David,9,953,10,7719.3,5647.47,2071.83
18,2023-07-02,East,Clothing,Shirt,Meena,10,894,20,7152.0,4191.82,2960.18
19,2023-09-21,West,Clothing,Shirt,Amit,1,508,5,482.6,266.15,216.45
20,2023-08-31,East,Sports,Tennis Racket,Sara,6,938,20,4502.4,3043.35,1459.05
21,2024-03-28,East,Beauty,Perfume,Priya,4,203,15,690.2,537.92,152.28
22,2024-08-22,South,Electronics,Laptop,Meena,5,751,20,3004.0,2319.44,684.56
23,2024-08-27,East,Electronics,Mobile,John,3,618,5,1761.3,893.93,867.37
24,2023-06-16,South,Beauty,Lipstick,Sara,6,282,0,1692.0,999.4,692.6
25,2024-04-04,North,Clothing,Jacket,Sara,7,921,15,5479.95,3774.03,1705.92
26,2024-03-28,South,Clothing,Jeans,Amit,1,395,10,355.5,233.01,122.49
27,2023-06-12,South,Electronics,Tablet,Sara,8,224,20,1433.6,983.04,450.56
28,2024-09-28,East,Sports,Tennis Racket,Amit,7,567,15,3373.65,1820.59,1553.06
29,2024-03-20,South,Electronics,Tablet,Amit,6,231,0,1386.0,994.24,391.76
30,2024-03-02,North,Clothing,Shoes,David,3,117,10,315.9,220.84,95.06
31,2024-01-20,North,Sports,Bat,Priya,1,776,20,620.8,483.01,137.79
32,2023-12-05,East,Sports,Football,Amit,3,266,15,678.3,493.89,184.41
33,2023-03-11,West,Electronics,Tablet,David,2,464,15,788.8,615.41,173.39
34,2024-04-12,West,Furniture,Table,Sara,4,241,15,819.4,410.06,409.34
35,2024-01-20,West,Beauty,Perfume,Priya,6,104,20,499.2,354.59,144.61
36,2023-04-05,North,Beauty,Face Wash,David,7,420,20,2352.0,1412.72,939.28
37,2023-12-19,North,Beauty,Lipstick,John,5,644,5,3059.0,2053.23,1005.77
38,2023-12-09,East,Furniture,Sofa,Amit,6,181,15,923.1,515.75,407.35
39,2023-08-11,North,Clothing,Jeans,Priya,5,510,15,2167.5,1416.8,750.7
